T:	[18:55:54:372829]	*IDN?	R:	[18:55:54:513989]	ROBOT_PREMO, V1.0
T:	[19:00:40:059475]	STATE?	R:	[19:00:40:059757]	2
T:	[19:00:40:385298]	STATE?	R:	[19:00:40:390562]	2
T:	[19:00:40:693146]	STATE?	R:	[19:00:40:698365]	2
T:	[19:00:41:009367]	STATE?	R:	[19:00:41:014612]	2
T:	[19:00:41:311555]	STATE?	R:	[19:00:41:316798]	2
T:	[19:00:41:617826]	STATE?	R:	[19:00:41:623237]	2
T:	[19:00:41:933451]	STATE?	R:	[19:00:41:954107]	2
T:	[19:00:41:969504]	MoveFromHiPotToLCR	R:	[19:00:42:354392]	ACK
T:	[19:00:42:663672]	STATE?	R:	[19:00:42:674064]	2
T:	[19:00:42:972714]	STATE?	R:	[19:00:42:977939]	2
T:	[19:00:43:278096]	STATE?	R:	[19:00:43:283342]	2
T:	[19:00:43:594073]	STATE?	R:	[19:00:43:609891]	2
T:	[19:00:43:897817]	STATE?	R:	[19:00:43:908164]	2
T:	[19:00:44:204912]	STATE?	R:	[19:00:44:205366]	2
T:	[19:00:44:506341]	STATE?	R:	[19:00:44:506511]	2
T:	[19:00:44:812401]	STATE?	R:	[19:00:44:812875]	2
T:	[19:00:45:117638]	STATE?	R:	[19:00:45:117824]	2
T:	[19:00:45:418848]	STATE?	R:	[19:00:45:439786]	2
T:	[19:00:45:724130]	STATE?	R:	[19:00:45:724321]	2
T:	[19:00:46:026097]	STATE?	R:	[19:00:46:026267]	2
T:	[19:00:46:332636]	STATE?	R:	[19:00:46:353855]	2
T:	[19:00:46:635721]	STATE?	R:	[19:00:46:635961]	2
T:	[19:00:46:941980]	STATE?	R:	[19:00:46:947432]	2
T:	[19:00:47:247719]	STATE?	R:	[19:00:47:247929]	2
T:	[19:00:47:555227]	STATE?	R:	[19:00:47:555427]	2
T:	[19:00:47:857890]	STATE?	R:	[19:00:47:858071]	2
T:	[19:00:48:164590]	STATE?	R:	[19:00:48:164802]	2
T:	[19:00:48:467560]	STATE?	R:	[19:00:48:488261]	2
T:	[19:00:48:787994]	STATE?	R:	[19:00:48:794204]	2
T:	[19:00:49:089560]	STATE?	R:	[19:00:49:094807]	2
T:	[19:00:49:399258]	STATE?	R:	[19:00:49:400365]	2
T:	[19:00:49:701731]	STATE?	R:	[19:00:49:707196]	2
T:	[19:00:50:016809]	STATE?	R:	[19:00:50:016966]	2
T:	[19:00:50:318892]	STATE?	R:	[19:00:50:319045]	2
T:	[19:00:50:621727]	STATE?	R:	[19:00:50:621876]	2
T:	[19:00:50:922992]	STATE?	R:	[19:00:50:923374]	2
T:	[19:00:51:232498]	STATE?	R:	[19:00:51:237723]	2
T:	[19:00:51:543321]	STATE?	R:	[19:00:51:543467]	2
T:	[19:00:51:846704]	STATE?	R:	[19:00:51:847075]	2
T:	[19:00:52:152878]	STATE?	R:	[19:00:52:158177]	2
T:	[19:00:52:459078]	STATE?	R:	[19:00:52:464372]	2
T:	[19:00:52:762516]	STATE?	R:	[19:00:52:767759]	2
T:	[19:00:53:063740]	STATE?	R:	[19:00:53:069203]	2
T:	[19:00:53:369737]	STATE?	R:	[19:00:53:380190]	2
T:	[19:00:53:677540]	STATE?	R:	[19:00:53:693030]	2
T:	[19:00:53:983784]	STATE?	R:	[19:00:53:989094]	2
T:	[19:00:54:289981]	STATE?	R:	[19:00:54:295550]	2
T:	[19:00:54:606399]	STATE?	R:	[19:00:54:622311]	2
T:	[19:00:54:914027]	STATE?	R:	[19:00:54:914502]	2
T:	[19:00:55:217830]	STATE?	R:	[19:00:55:223109]	2
T:	[19:00:55:524100]	STATE?	R:	[19:00:55:539914]	2
T:	[19:00:55:827676]	STATE?	R:	[19:00:55:832916]	2
T:	[19:00:56:132312]	STATE?	R:	[19:00:56:142657]	2
T:	[19:00:56:438953]	STATE?	R:	[19:00:56:439179]	2
T:	[19:00:56:742058]	STATE?	R:	[19:00:56:747359]	2
T:	[19:00:57:053879]	STATE?	R:	[19:00:57:059159]	2
T:	[19:00:57:360306]	STATE?	R:	[19:00:57:365774]	2
T:	[19:00:57:662720]	STATE?	R:	[19:00:57:678586]	2
T:	[19:00:57:969694]	STATE?	R:	[19:00:57:975292]	2
T:	[19:00:58:279601]	STATE?	R:	[19:00:58:279771]	2
T:	[19:00:58:586094]	STATE?	R:	[19:00:58:586248]	2
T:	[19:00:58:903374]	STATE?	R:	[19:00:58:908749]	2
T:	[19:00:59:212219]	STATE?	R:	[19:00:59:217452]	2
T:	[19:00:59:518627]	STATE?	R:	[19:00:59:523958]	2
T:	[19:00:59:829816]	STATE?	R:	[19:00:59:829977]	2
T:	[19:01:00:130891]	STATE?	R:	[19:01:00:146247]	2
T:	[19:01:00:440864]	STATE?	R:	[19:01:00:441011]	2
